Category: All categories

Month,Shake it Off: (Worldwide)
2004-01,0
2004-02,<1
2004-03,0
2004-04,<1
2004-05,<1
2004-06,0
2004-07,0
2004-08,0
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,0
2005-01,0
2005-02,<1
2005-03,<1
2005-04,1
2005-05,1
2005-06,2
2005-07,9
2005-08,31
2005-09,28
2005-10,18
2005-11,9
2005-12,6
2006-01,4
2006-02,3
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,<1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,<1
2009-04,1
2009-05,<1
2009-06,<1
2009-07,1
2009-08,1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,<1
2013-08,1
2013-09,<1
2013-10,<1
2013-11,<1
2013-12,<1
2014-01,<1
2014-02,<1
2014-03,<1
2014-04,<1
2014-05,<1
2014-06,<1
2014-07,<1
2014-08,93
2014-09,100
2014-10,88
2014-11,96
2014-12,74
2015-01,75
2015-02,61
2015-03,43
2015-04,46
2015-05,43
2015-06,34
2015-07,29
2015-08,27
2015-09,23
2015-10,20
2015-11,20
2015-12,16
2016-01,14
2016-02,12
2016-03,11
2016-04,11
2016-05,11
2016-06,10
2016-07,10
2016-08,8
2016-09,7
2016-10,7
2016-11,8
2016-12,9
2017-01,10
2017-02,9
2017-03,10
2017-04,11
2017-05,10
2017-06,9
2017-07,9
2017-08,9
2017-09,9
2017-10,7
2017-11,6
2017-12,6
2018-01,7
2018-02,6
2018-03,6
2018-04,5
2018-05,6
2018-06,5
2018-07,6
2018-08,5
2018-09,5
2018-10,5
2018-11,5
2018-12,4
2019-01,5
2019-02,4
2019-03,4
2019-04,4
2019-05,4
2019-06,4
2019-07,4
2019-08,4
2019-09,4
2019-10,3
2019-11,4
2019-12,4
2020-01,4
2020-02,4
2020-03,3
2020-04,4
2020-05,3
2020-06,3
2020-07,3
2020-08,3
2020-09,2
2020-10,2
2020-11,2
2020-12,2
2021-01,3
2021-02,2
2021-03,2
2021-04,2
2021-05,2
2021-06,2
2021-07,2
2021-08,2
2021-09,2
2021-10,2
2021-11,2
2021-12,2
2022-01,2
2022-02,2
2022-03,1
2022-04,1
2022-05,1
2022-06,1
2022-07,1
2022-08,<1
2022-09,<1
2022-10,<1
2022-11,<1
2022-12,<1
2023-01,<1
2023-02,1
2023-03,<1
2023-04,<1
2023-05,<1
2023-06,<1
2023-07,<1
2023-08,<1
2023-09,<1
2023-10,<1
2023-11,<1
2023-12,<1
2024-01,<1
2024-02,1
